Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Combined,0.37,0.24,0.4,0.07,0.81,0.14,13,-0.0054,SNDL,0.25,0.005,0.001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,0.25,0.005,0.001
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0248,MARA,0.25,0.005,0.001
Momentum,0.66,0.99,1.29,0.05,34.41,0.44,10,-0.016,MARA,0.25,0.005,0.001
Combined,0.09,0.06,0.69,-0.16,3.84,0.14,10,-0.0173,MARA,0.25,0.005,0.001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,0.25,0.005,0.001
Mean Reversion,-0.43,-0.39,0.74,-0.56,2.18,0.41,13,0.0082,LUMN,0.25,0.005,0.001
Momentum,0.49,0.78,0.74,0.13,1.81,0.42,17,-0.0035,LUMN,0.25,0.005,0.001
Combined,0.15,0.05,0.08,0.01,0.24,0.03,12,0.0007,LUMN,0.25,0.005,0.001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,0.25,0.005,0.001
Mean Reversion,0.0,0.0,0.67,-0.2,1.65,0.41,6,-0.0531,OPK,0.25,0.005,0.001
Momentum,-0.43,-0.51,0.67,-0.41,1.25,0.4,20,0.0076,OPK,0.25,0.005,0.001
Combined,-0.66,-0.32,0.23,-0.17,0.9,0.08,18,-0.0054,OPK,0.25,0.005,0.001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,0.25,0.005,0.001
Mean Reversion,-0.02,-0.03,0.48,-0.12,1.68,0.41,9,-0.0109,FSLR,0.25,0.005,0.001
Momentum,0.05,0.08,0.49,-0.09,0.91,0.42,19,0.0017,FSLR,0.25,0.005,0.001
Combined,0.1,0.06,0.2,-0.0,0.49,0.08,17,0.0061,FSLR,0.25,0.005,0.001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,0.25,0.005,0.001
